Hex_Code,R,G,B,Core_Skin_Type,Skin_Type,Core_Color,Foundation_Color,Blush_Color,Lipstick_Color,Eyeshadow_Color,Highlighter_Color,Contour_Color
#FFFAFA,255,250,250,Oily,Oily,Pale,Alabaster,Soft Pink,Nude Pink,Champagne,Pearl,Soft Taupe
#FFF0E1,255,240,225,Dry,Dry,Pale,Porcelain,Light Pink,Nude Pink,Champagne,Pearl,Soft Taupe
#FAE7D3,250,231,211,Combination,Combination,Pale,Ivory,Pale Pink,Soft Coral,Soft Gold,Soft Gold,Soft Taupe
#F0D5BE,240,213,190,Sensitive,Sensitive,Pale,Light Beige,Soft Coral,Soft Coral,Soft Gold,Soft Gold,Warm Beige
#D8B998,216,185,152,Combination,Normal,Natural,Warm Beige,Peach,Soft Coral,Soft Gold,Soft Gold,Warm Beige
#C9A882,201,168,130,Oily,Acne-Prone,Golden,Golden Beige,Coral,Soft Coral,Bronze,Champagne Gold,Warm Beige
#C4A484,196,164,132,Dry,Aging,Natural,Sand,Warm Pink,Classic Red,Bronze,Champagne Gold,Warm Beige
#B8860B,184,134,11,Dry,Dehydrated,Natural,Olive,Terracotta,Classic Red,Copper,Champagne Gold,Rich Bronze
#B3816A,179,129,106,Dry,Hyperpigmented,Natural,Honey,Deep Coral,Deep Berry,Copper,Warm Bronze,Deep Brown
#A57C55,165,124,85,Dry,Dull,Natural,Warm Caramel,Warm Brown,Deep Berry,Deep Brown,Warm Bronze,Deep Brown
#A67B5B,166,123,91,Sensitive,Redness-Prone,Natural,Caramel,Warm Bronze,Warm Rose,Warm Bronze,Champagne Gold,Deep Brown
#8E583E,142,88,62,Oily,Acne-Prone,Natural,Chestnut,Burgundy,Deep Rose,Deep Brown,Golden Bronze,Dark Chocolate
#734A31,115,74,49,Dry,Mature,Mocha,Deep Mocha,Deep Rose,Rich Burgundy,Warm Bronze,Deep Gold,Dark Chocolate
#4B3621,75,54,33,Sensitive,Sensitive,Mocha,Espresso,Dark Berry,Deep Red,Deep Brown,Deep Gold,Dark Chocolate
#3E2723,62,39,35,Dry,Aging,Mocha,Mahogany,Dark Plum,Burgundy,Deep Brown,Golden Bronze,Dark Chocolate
#2C1608,44,22,8,Oily,Oily,Mocha,Ebony,Warm Burgundy,Dark Plum,Warm Bronze,Golden Bronze,Dark Chocolate
#1C0B06,28,11,6,Dry,Dehydrated,Mocha,Deep Ebony,Deep Red,Dark Berry,Warm Bronze,Deep Gold,Dark Chocolate
#C9A882,201,168,130,Combination,Normal,Golden,Golden Beige,Warm Peach,Coral,Soft Gold,Champagne Gold,Rich Bronze
#B3816A,179,129,106,Dry,Dry,Natural,Honey,Deep Coral,Deep Rose,Warm Bronze,Soft Gold,Warm Bronze
#B8860B,184,134,11,Oily,Oily,Natural,Olive,Terracotta,Deep Berry,Bronze,Champagne Gold,Deep Brown
#FFF5EE,255,245,238,Dry,Dry,Pale,Fair,Light Peach,Soft Pink,Soft Gold,Soft Gold,Warm Beige
#FFDAB9,255,218,185,Dry,Dry,Pale,Peach,Soft Coral,Light Pink,Champagne,Pearl,Soft Taupe
#FFD700,255,215,0,Oily,Oily,Pale,Light Tan,Warm Pink,Coral,Bronze,Champagne Gold,Warm Beige
#D2B48C,210,180,140,Combination,Combination,Natural,Tan,Coral,Peach,Copper,Soft Gold,Warm Beige
#F5F5DC,245,245,220,Sensitive,Sensitive,Natural,Medium Beige,Soft Pink,Nude Pink,Champagne,Pearl,Soft Taupe
#E0CDA9,224,205,169,Oily,Acne-Prone,Natural,Almond,Warm Coral,Soft Coral,Soft Gold,Champagne Gold,Warm Beige
#C19A6B,193,154,107,Dry,Aging,Natural,Caramel Tan,Warm Brown,Classic Red,Bronze,Champagne Gold,Warm Beige
#BC8F8F,188,143,143,Dry,Dehydrated,Pale,Light Olive,Terracotta,Classic Red,Copper,Champagne Gold,Rich Bronze
#DAA520,218,165,32,Dry,Hyperpigmented,Natural,Dark Honey,Deep Coral,Deep Berry,Copper,Warm Bronze,Deep Brown
#A0522D,160,82,45,Dry,Dull,Mocha,Dark Caramel,Warm Brown,Deep Berry,Deep Brown,Warm Bronze,Deep Brown
#8B4513,139,69,19,Sensitive,Redness-Prone,Natural,Dark Chestnut,Warm Bronze,Warm Rose,Warm Bronze,Champagne Gold,Deep Brown
#CD853F,205,133,63,Oily,Acne-Prone,Natural,Deep Almond,Burgundy,Deep Rose,Deep Brown,Golden Bronze,Dark Chocolate
#8B0000,139,0,0,Dry,Mature,Mocha,Mocha,Deep Rose,Rich Burgundy,Warm Bronze,Deep Gold,Dark Chocolate
#6F4E37,111,78,55,Sensitive,Sensitive,Mocha,Coffee,Dark Berry,Deep Red,Deep Brown,Deep Gold,Dark Chocolate
#654321,101,67,33,Dry,Aging,Mocha,Dark Mahogany,Dark Plum,Burgundy,Deep Brown,Golden Bronze,Dark Chocolate
#3C2F2F,60,47,47,Oily,Oily,Mocha,Deep Coffee,Warm Burgundy,Dark Plum,Warm Bronze,Golden Bronze,Dark Chocolate
